date,thermal time
21/10,"0,00"
23/10,"11,83"
25/10,"23,67"
28/10,"35,50"
30/10,"47,33"
01/11,"59,17"
04/11,"71,00"
06/11,"82,83"
08/11,"94,67"
11/11,"106,50"
13/11,"118,33"
15/11,"130,17"
