date,thermal time
21/10,0
23/10,"0,00"
25/10,"11,83"
28/10,"23,67"
30/10,"35,50"
01/11,"47,33"
04/11,"59,17"
06/11,"71,00"
08/11,"82,83"
11/11,"94,67"
13/11,"106,50"
15/11,"118,33"
18/11,"130,17"
20/11,"142,00"
22/11,"153,83"
